name,brand,category,sku,description,package_size,search_keywords
Suspension File (Hanging) Pack of 10,,Filing & Organisation,BKS-0345,"Hanging suspension files for cabinets, Pack of 10",Pack of 10,"suspension file, hanging file"
Spring File Pack of 10,,Filing & Organisation,BKS-0346,"Spring clip document file, Pack of 10",Pack of 10,"spring file, document folder"
Display Book (Presentation) 20 pockets,,Filing & Organisation,BKS-0347,"Clear pocket display presentation book, 20 pockets",20 pockets,"display book, presentation folder"
Display Book (Presentation) 40 pockets,,Filing & Organisation,BKS-0348,"Clear pocket display presentation book, 40 pockets",40 pockets,"display book, presentation folder"
Document Wallet Pack of 5,,Filing & Organisation,BKS-0349,"Elastic closure document wallet, Pack of 5",Pack of 5,"document wallet, file wallet"
Expanding File Organiser 13 pockets,,Filing & Organisation,BKS-0350,"Multi-pocket expanding file organiser, 13 pockets",13 pockets,"expanding file, file organiser"
Clipboard A4,,Filing & Organisation,BKS-0351,"Hardboard clipboard with clip, A4",A4,clipboard
Desk Organiser Tray 3-tier,,Filing & Organisation,BKS-0352,"Stackable desk document tray, 3-tier",3-tier,"desk tray, document tray"
Pen Holder (Desk) 1 piece,,Filing & Organisation,BKS-0353,"Desktop pen and pencil holder, 1 piece",1 piece,"pen holder, desk organiser"
Business Card Holder 1 piece,,Filing & Organisation,BKS-0354,"Desktop business card holder, 1 piece",1 piece,business card holder
Magazine File Holder 1 piece,,Filing & Organisation,BKS-0355,"Upright magazine and file holder, 1 piece",1 piece,"magazine holder, file holder"
Index Dividers Set of 10,,Filing & Organisation,BKS-0356,"Coloured index divider tabs, Set of 10",Set of 10,"index dividers, file dividers"
Archive Storage Box 1 piece,,Filing & Organisation,BKS-0357,"Cardboard archive storage box, 1 piece",1 piece,"archive box, storage box"
Heavy Duty Stapler 1 piece,,Desk & Office Accessories,BKS-0358,"Heavy duty office stapler, 1 piece",1 piece,"heavy duty stapler, stapler"
Staple Pins (No. 24/6) Box of 1000,,Desk & Office Accessories,BKS-0359,"Standard 24/6 staple pins, Box of 1000",Box of 1000,"staple pins, staples"
Staple Pins (No. 10) Box of 1000,,Desk & Office Accessories,BKS-0360,"Mini No.10 staple pins, Box of 1000",Box of 1000,"staple pins no 10, mini staples"
Staple Remover 1 piece,,Desk & Office Accessories,BKS-0361,"Metal staple remover tool, 1 piece",1 piece,staple remover
Hole Punch (2-Hole) 1 piece,,Desk & Office Accessories,BKS-0362,"Two-hole paper punch, 1 piece",1 piece,"hole punch, paper punch"
Hole Punch (Heavy Duty) 1 piece,,Desk & Office Accessories,BKS-0363,"Heavy duty multi-sheet hole punch, 1 piece",1 piece,"heavy duty punch, hole punch"
Binder Clips (Assorted) Box of 12,,Desk & Office Accessories,BKS-0364,"Assorted size metal binder clips, Box of 12",Box of 12,"binder clips, bulldog clips"
Binder Clips (Assorted) Box of 24,,Desk & Office Accessories,BKS-0365,"Assorted size metal binder clips, Box of 24",Box of 24,"binder clips, bulldog clips"
Bulldog Clips Box of 12,,Desk & Office Accessories,BKS-0366,"Metal bulldog paper clips, Box of 12",Box of 12,bulldog clips
Push Pins / Drawing Pins Box of 100,,Desk & Office Accessories,BKS-0367,"Coloured push pins for notice boards, Box of 100",Box of 100,"push pins, drawing pins"
Paper Clips (Coloured) Box of 100,,Desk & Office Accessories,BKS-0368,"Coloured plastic-coated paper clips, Box of 100",Box of 100,"paper clips, coloured clips"
Cellotape (Clear) 18mm roll,,Desk & Office Accessories,BKS-0369,"Clear adhesive cellotape roll, 18mm roll",18mm roll,"cellotape, sticky tape, clear tape"
Cellotape (Clear) 48mm roll,,Desk & Office Accessories,BKS-0370,"Clear adhesive cellotape roll, 48mm roll",48mm roll,"cellotape, sticky tape, clear tape"
Masking Tape 24mm roll,,Desk & Office Accessories,BKS-0371,"Paper masking tape roll, 24mm roll",24mm roll,masking tape
Double-Sided Tape 12mm roll,,Desk & Office Accessories,BKS-0372,"Double-sided adhesive tape, 12mm roll",12mm roll,double sided tape
Packaging Tape (Brown) 48mm roll,,Desk & Office Accessories,BKS-0373,"Brown parcel packaging tape, 48mm roll",48mm roll,"packaging tape, parcel tape"
Tape Dispenser 1 piece,,Desk & Office Accessories,BKS-0374,"Desktop tape dispenser, 1 piece",1 piece,tape dispenser
Scissors (Office) 8 inch,,Desk & Office Accessories,BKS-0375,"Stainless steel office scissors, 8 inch",8 inch,"office scissors, scissors"
Paper Trimmer/Cutter A4,,Desk & Office Accessories,BKS-0376,"Manual guillotine paper trimmer, A4",A4,"paper cutter, guillotine, trimmer"
Utility Knife (Cutter) 1 piece,,Desk & Office Accessories,BKS-0377,"Retractable blade utility cutter, 1 piece",1 piece,"utility knife, box cutter"
Rubber Stamp (Custom) 1 piece,,Desk & Office Accessories,BKS-0378,"Custom self-inking rubber stamp, 1 piece",1 piece,"rubber stamp, custom stamp"
Stamp Pad 1 piece,,Desk & Office Accessories,BKS-0379,"Ink stamp pad, 1 piece",1 piece,"stamp pad, ink pad"
Stamp Pad Ink 30ml,,Desk & Office Accessories,BKS-0380,"Refill ink for stamp pads, 30ml",30ml,"stamp ink, ink refill"
Letter Opener 1 piece,,Desk & Office Accessories,BKS-0381,"Metal envelope letter opener, 1 piece",1 piece,letter opener
Rubber Thumb (Note Counter) 1 piece,,Desk & Office Accessories,BKS-0382,"Rubber finger for counting notes/pages, 1 piece",1 piece,"rubber thumb, finger cot"
Casio Calculator (Desktop 12-digit) 1 piece,Casio,Desk & Office Accessories,BKS-0383,"Casio 12-digit desktop calculator, 1 piece",1 piece,"casio calculator, desktop calculator"
Calculator (Pocket) 1 piece,,Desk & Office Accessories,BKS-0384,"Pocket-size basic calculator, 1 piece",1 piece,pocket calculator
Whiteboard Eraser 1 piece,,Desk & Office Accessories,BKS-0385,"Magnetic whiteboard eraser, 1 piece",1 piece,"whiteboard eraser, board duster"
Chalkboard Duster 1 piece,,Desk & Office Accessories,BKS-0386,"Felt chalkboard duster, 1 piece",1 piece,"chalkboard duster, blackboard duster"
Notice Board (Cork) A3,,Desk & Office Accessories,BKS-0387,"Cork pin notice board, A3",A3,"notice board, cork board, pin board"
Notice Board (Cork) A2,,Desk & Office Accessories,BKS-0388,"Cork pin notice board, A2",A2,"notice board, cork board, pin board"
Binding Machine (Comb) 1 piece,,Desk & Office Accessories,BKS-0389,"Manual comb binding machine, 1 piece",1 piece,"binding machine, comb binder"
Binding Combs (Plastic) Pack of 25,,Desk & Office Accessories,BKS-0390,"Plastic binding comb spines, Pack of 25",Pack of 25,"binding combs, spiral binding"
Binding Covers (Clear) Pack of 100,,Desk & Office Accessories,BKS-0391,"Clear PVC binding cover sheets, Pack of 100",Pack of 100,"binding covers, report covers"
Laminating Machine A4,,Desk & Office Accessories,BKS-0392,"Desktop A4 laminating machine, A4",A4,"laminating machine, laminator"
Oxford Mathematical Set (Deluxe) 1 set,Oxford,Mathematical & Technical,BKS-0393,"Oxford deluxe mathematical instrument set, 1 set",1 set,"oxford math set, geometry set"
Compass (Drawing) 1 piece,,Mathematical & Technical,BKS-0394,"Metal drawing compass, 1 piece",1 piece,"compass, drawing compass"
Divider (Drawing) 1 piece,,Mathematical & Technical,BKS-0395,"Metal drawing divider, 1 piece",1 piece,"divider, drawing divider"
Protractor (180 degree) 1 piece,,Mathematical & Technical,BKS-0396,"Clear plastic 180-degree protractor, 1 piece",1 piece,"protractor, geometry"
Protractor (360 degree) 1 piece,,Mathematical & Technical,BKS-0397,"Full circle 360-degree protractor, 1 piece",1 piece,"protractor 360, geometry"
Set Square (45 degree) 1 piece,,Mathematical & Technical,BKS-0398,"45-degree plastic set square, 1 piece",1 piece,"set square, technical drawing"
Set Square (60 degree) 1 piece,,Mathematical & Technical,BKS-0399,"60-degree plastic set square, 1 piece",1 piece,"set square, technical drawing"
T-Square (Drawing) 60cm,,Mathematical & Technical,BKS-0400,"Technical drawing T-square, 60cm",60cm,"t square, technical drawing"
T-Square (Drawing) 90cm,,Mathematical & Technical,BKS-0401,"Technical drawing T-square, 90cm",90cm,"t square, technical drawing"
French Curve Set Set of 3,,Mathematical & Technical,BKS-0402,"French curve drawing templates, Set of 3",Set of 3,"french curve, drawing template"
Drawing Board A3,,Mathematical & Technical,BKS-0403,"Technical drawing board, A3",A3,"drawing board, technical drawing"
Drawing Board A2,,Mathematical & Technical,BKS-0404,"Technical drawing board, A2",A2,"drawing board, technical drawing"
Scale Ruler (Triangular) 30cm,,Mathematical & Technical,BKS-0405,"Triangular architect scale ruler, 30cm",30cm,"scale ruler, architect ruler"
Flexible Ruler 30cm,,Mathematical & Technical,BKS-0406,"Flexible bendable ruler, 30cm",30cm,flexible ruler
Ruler (15cm Plastic) 1 piece,,Mathematical & Technical,BKS-0407,"Small 15cm plastic ruler, 1 piece",1 piece,"15cm ruler, small ruler"
Ruler (Steel 30cm) 1 piece,,Mathematical & Technical,BKS-0408,"Stainless steel 30cm ruler, 1 piece",1 piece,"steel ruler, metal ruler"
Measuring Tape 3m,,Mathematical & Technical,BKS-0409,"Retractable measuring tape, 3m",3m,"measuring tape, tape measure"
Measuring Tape 5m,,Mathematical & Technical,BKS-0410,"Retractable measuring tape, 5m",5m,"measuring tape, tape measure"
Stencil Set (Letters/Numbers) 1 set,,Mathematical & Technical,BKS-0411,"Letter and number stencil set, 1 set",1 set,"stencil, lettering stencil"
School Backpack (Wheeled) 1 piece,,School Bags & Carriers,BKS-0412,"Wheeled trolley school backpack, 1 piece",1 piece,"trolley bag, wheeled backpack"
Laptop Backpack 15 inch,,School Bags & Carriers,BKS-0413,"Padded laptop compartment backpack, 15 inch",15 inch,"laptop bag, laptop backpack"
Document Bag (Conference) A4,,School Bags & Carriers,BKS-0414,"Zippered conference document bag, A4",A4,"document bag, conference bag"
Pencil Pouch (Multi-Compartment) 1 piece,,School Bags & Carriers,BKS-0415,"Multi-compartment pencil pouch, 1 piece",1 piece,"pencil pouch, pencil case"
Pencil Tin/Box 1 piece,,School Bags & Carriers,BKS-0416,"Hard shell pencil box, 1 piece",1 piece,"pencil box, pencil tin"
Drawstring Bag 1 piece,,School Bags & Carriers,BKS-0417,"Lightweight drawstring sports bag, 1 piece",1 piece,"drawstring bag, gym bag"
Lunch Bag (Insulated) 1 piece,,School Bags & Carriers,BKS-0418,"Insulated lunch cooler bag, 1 piece",1 piece,"lunch bag, insulated bag"
Self-Adhesive Labels (A4 Sheets) Pack of 100,,Labels & Sundries,BKS-0419,"Printable self-adhesive label sheets, Pack of 100",Pack of 100,"labels, adhesive labels"
Name Badge (Pin) Pack of 10,,Labels & Sundries,BKS-0420,"Blank pin-on name badges, Pack of 10",Pack of 10,"name badge, id badge"
Lanyard (Plain) 1 piece,,Labels & Sundries,BKS-0421,"Neck lanyard with clip, 1 piece",1 piece,"lanyard, id lanyard"
Lanyard (Plain) Pack of 10,,Labels & Sundries,BKS-0422,"Neck lanyard with clip, Pack of 10",Pack of 10,"lanyard, id lanyard"
Book Covering Film (Clear) 3m roll,,Labels & Sundries,BKS-0423,"Self-adhesive clear book covering film, 3m roll",3m roll,"book cover film, contact paper"
Brown Paper (Book Covering) Pack of 10 sheets,,Labels & Sundries,BKS-0424,"Brown kraft paper for covering books, Pack of 10 sheets",Pack of 10 sheets,"brown paper, book covering"
Bookmark (Assorted) Pack of 10,,Labels & Sundries,BKS-0425,"Assorted design bookmarks, Pack of 10",Pack of 10,"bookmark, book marker"
Certificate Frame A4,,Labels & Sundries,BKS-0426,"A4 certificate display frame, A4",A4,"certificate frame, photo frame"
Certificate Paper (Blank) Pack of 25,,Labels & Sundries,BKS-0427,"Blank printable certificate paper, Pack of 25",Pack of 25,"certificate paper, award paper"
Greeting Cards (Assorted) 1 piece,,Labels & Sundries,BKS-0428,"Assorted occasion greeting cards, 1 piece",1 piece,"greeting cards, cards"
Greeting Cards (Assorted) Pack of 10,,Labels & Sundries,BKS-0429,"Assorted occasion greeting cards, Pack of 10",Pack of 10,"greeting cards, cards"
Envelope (Small White) Pack of 50,,Labels & Sundries,BKS-0430,"Small white letter envelopes, Pack of 50",Pack of 50,"envelopes, letter envelope"
String/Twine Roll 1 roll,,Labels & Sundries,BKS-0431,"Cotton parcel string twine, 1 roll",1 roll,"twine, string, parcel string"
Rubber Bands (Large) Pack of 50,,Labels & Sundries,BKS-0432,"Large heavy-duty rubber bands, Pack of 50",Pack of 50,"rubber bands, elastic bands"
