name,brand,category,sku,description,package_size,search_keywords
Concrete Blocks (6 inch Solid) Per 100,,Cement & Aggregates,HDW-0020,"6-inch solid concrete block, Per 100",Per 100,"concrete block, cement block, 6 inch block"
Concrete Blocks (6 inch Hollow) Per piece,,Cement & Aggregates,HDW-0021,"6-inch hollow concrete block, Per piece",Per piece,"hollow block, concrete block"
Concrete Blocks (6 inch Hollow) Per 100,,Cement & Aggregates,HDW-0022,"6-inch hollow concrete block, Per 100",Per 100,"hollow block, concrete block"
Concrete Blocks (5 inch) Per piece,,Cement & Aggregates,HDW-0023,"5-inch concrete block, Per piece",Per piece,"concrete block, 5 inch block"
Concrete Blocks (5 inch) Per 100,,Cement & Aggregates,HDW-0024,"5-inch concrete block, Per 100",Per 100,"concrete block, 5 inch block"
Concrete Blocks (4 inch) Per piece,,Cement & Aggregates,HDW-0025,"4-inch concrete block, Per piece",Per piece,"concrete block, 4 inch block"
Concrete Blocks (4 inch) Per 100,,Cement & Aggregates,HDW-0026,"4-inch concrete block, Per 100",Per 100,"concrete block, 4 inch block"
Lime (Hydrated) 25kg bag,,Cement & Aggregates,HDW-0027,"Hydrated builders lime, 25kg bag",25kg bag,"lime, hydrated lime"
Iron Rod (8mm) 12m length,,Iron Rods & Steel,HDW-0028,"8mm reinforcement iron rod, 12m length",12m length,"iron rod, rebar, 8mm rod, reinforcement"
Iron Rod (10mm) 12m length,,Iron Rods & Steel,HDW-0029,"10mm reinforcement iron rod, 12m length",12m length,"iron rod, rebar, 10mm rod"
Iron Rod (12mm) 12m length,,Iron Rods & Steel,HDW-0030,"12mm reinforcement iron rod, 12m length",12m length,"iron rod, rebar, 12mm rod"
Iron Rod (16mm) 12m length,,Iron Rods & Steel,HDW-0031,"16mm reinforcement iron rod, 12m length",12m length,"iron rod, rebar, 16mm rod"
Iron Rod (20mm) 12m length,,Iron Rods & Steel,HDW-0032,"20mm reinforcement iron rod, 12m length",12m length,"iron rod, rebar, 20mm rod"
Iron Rod (25mm) 12m length,,Iron Rods & Steel,HDW-0033,"25mm reinforcement iron rod, 12m length",12m length,"iron rod, rebar, 25mm rod"
Binding Wire Per kg,,Iron Rods & Steel,HDW-0034,"Steel binding wire for rebar, Per kg",Per kg,"binding wire, tie wire"
Binding Wire 25kg roll,,Iron Rods & Steel,HDW-0035,"Steel binding wire for rebar, 25kg roll",25kg roll,"binding wire, tie wire"
BRC Mesh (Reinforcement) Per sheet,,Iron Rods & Steel,HDW-0036,"BRC welded reinforcement mesh, Per sheet",Per sheet,"brc mesh, welded mesh, reinforcement mesh"
Angle Iron 1 inch,,Iron Rods & Steel,HDW-0037,"Mild steel angle iron, 1 inch, per length",1 inch,"angle iron, steel angle"
Angle Iron 1.5 inch,,Iron Rods & Steel,HDW-0038,"Mild steel angle iron, 1.5 inch, per length",1.5 inch,"angle iron, steel angle"
Angle Iron 2 inch,,Iron Rods & Steel,HDW-0039,"Mild steel angle iron, 2 inch, per length",2 inch,"angle iron, steel angle"
Flat Bar (Steel) 1 inch,,Iron Rods & Steel,HDW-0040,"Mild steel flat bar, 1 inch, per length",1 inch,"flat bar, steel bar"
Flat Bar (Steel) 2 inch,,Iron Rods & Steel,HDW-0041,"Mild steel flat bar, 2 inch, per length",2 inch,"flat bar, steel bar"
Square Pipe (Steel) 1x1 inch,,Iron Rods & Steel,HDW-0042,"Mild steel square hollow pipe, 1x1 inch, per length",1x1 inch,"square pipe, steel pipe, hollow section"
Square Pipe (Steel) 2x2 inch,,Iron Rods & Steel,HDW-0043,"Mild steel square hollow pipe, 2x2 inch, per length",2x2 inch,"square pipe, steel pipe, hollow section"
Square Pipe (Steel) 3x3 inch,,Iron Rods & Steel,HDW-0044,"Mild steel square hollow pipe, 3x3 inch, per length",3x3 inch,"square pipe, steel pipe, hollow section"
Round Pipe (Steel) 1 inch,,Iron Rods & Steel,HDW-0045,"Mild steel round pipe, 1 inch, per length",1 inch,"round pipe, steel pipe"
Round Pipe (Steel) 2 inch,,Iron Rods & Steel,HDW-0046,"Mild steel round pipe, 2 inch, per length",2 inch,"round pipe, steel pipe"
U-Channel (Steel) 3 inch,,Iron Rods & Steel,HDW-0047,"Steel U-channel section, 3 inch, per length",3 inch,"u channel, steel channel"
U-Channel (Steel) 4 inch,,Iron Rods & Steel,HDW-0048,"Steel U-channel section, 4 inch, per length",4 inch,"u channel, steel channel"
H-Beam / I-Beam Per length,,Iron Rods & Steel,HDW-0049,"Structural steel H-beam, Per length",Per length,"h beam, i beam, steel beam"
Steel Sheet (Plate) Per sheet,,Iron Rods & Steel,HDW-0050,"Mild steel flat plate sheet, Per sheet",Per sheet,"steel plate, steel sheet"
Aluminium Roofing Sheet (Corrugated) Per metre,,Roofing,HDW-0051,"Corrugated aluminium roofing sheet, Per metre",Per metre,"roofing sheet, aluminium roofing, zinc"
Aluminium Roofing Sheet (Corrugated) Per bundle,,Roofing,HDW-0052,"Corrugated aluminium roofing sheet, Per bundle",Per bundle,"roofing sheet, aluminium roofing, zinc"
Aluzinc Roofing Sheet Per metre,,Roofing,HDW-0053,"Aluzinc coated roofing sheet, Per metre",Per metre,"aluzinc, roofing sheet"
Long Span Roofing Sheet Per metre,,Roofing,HDW-0054,"Long span metal roofing sheet, Per metre",Per metre,"long span, roofing sheet, metal roofing"
Roofing Tiles (Stone Coated) Per piece,,Roofing,HDW-0055,"Stone coated metal roofing tile, Per piece",Per piece,"roofing tiles, stone coated tiles"
Roofing Tiles (Stone Coated) Per pack,,Roofing,HDW-0056,"Stone coated metal roofing tile, Per pack",Per pack,"roofing tiles, stone coated tiles"
IBR Roofing Sheet Per metre,,Roofing,HDW-0057,"IBR profile roofing sheet, Per metre",Per metre,"ibr sheet, roofing"
Ridge Cap (Roofing) Per piece,,Roofing,HDW-0058,"Roofing ridge cap cover, Per piece",Per piece,"ridge cap, roofing accessory"
Roofing Nails (Umbrella Head) Per kg,,Roofing,HDW-0059,"Umbrella head roofing nails, Per kg",Per kg,"roofing nails, umbrella nails"
Roofing Nails (Umbrella Head) 25kg box,,Roofing,HDW-0060,"Umbrella head roofing nails, 25kg box",25kg box,"roofing nails, umbrella nails"
Roofing Screws (Self-Drilling) Per pack of 100,,Roofing,HDW-0061,"Self-drilling roofing screws with washer, Per pack of 100",Per pack of 100,"roofing screws, self drilling screws"
Wood Purlin (Roofing Timber) 2x3 inch,,Roofing,HDW-0062,"Treated wood purlin for roofing, 2x3 inch, per length",2x3 inch,"purlin, roofing timber"
Wood Purlin (Roofing Timber) 2x4 inch,,Roofing,HDW-0063,"Treated wood purlin for roofing, 2x4 inch, per length",2x4 inch,"purlin, roofing timber"
Steel Purlin (Z-Section) Per length,,Roofing,HDW-0064,"Galvanised Z-section steel purlin, Per length",Per length,"steel purlin, z purlin"
Roofing Felt / Underlay Per roll,,Roofing,HDW-0065,"Roofing membrane underlay felt, Per roll",Per roll,"roofing felt, underlay"
Gutter (PVC) Per length,,Roofing,HDW-0066,"PVC rain gutter, Per length",Per length,"gutter, rain gutter, pvc gutter"
Downpipe (PVC) Per length,,Roofing,HDW-0067,"PVC rainwater downpipe, Per length",Per length,"downpipe, rainwater pipe"
Fascia Board Per length,,Roofing,HDW-0068,"PVC fascia board, Per length",Per length,"fascia board, roofing trim"
Duraplast PVC Pipe (Pressure) 1/2 inch,Duraplast,Plumbing,HDW-0069,"Duraplast PVC pressure pipe, 1/2 inch, per length",1/2 inch,"pvc pipe, water pipe, duraplast"
Duraplast PVC Pipe (Pressure) 3/4 inch,Duraplast,Plumbing,HDW-0070,"Duraplast PVC pressure pipe, 3/4 inch, per length",3/4 inch,"pvc pipe, water pipe, duraplast"
Duraplast PVC Pipe (Pressure) 1 inch,Duraplast,Plumbing,HDW-0071,"Duraplast PVC pressure pipe, 1 inch, per length",1 inch,"pvc pipe, water pipe, duraplast"
Duraplast PVC Pipe (Pressure) 1.5 inch,Duraplast,Plumbing,HDW-0072,"Duraplast PVC pressure pipe, 1.5 inch, per length",1.5 inch,"pvc pipe, water pipe, duraplast"
Duraplast PVC Pipe (Pressure) 2 inch,Duraplast,Plumbing,HDW-0073,"Duraplast PVC pressure pipe, 2 inch, per length",2 inch,"pvc pipe, water pipe, duraplast"
PVC Pipe (Soil/Waste) 3 inch,,Plumbing,HDW-0074,"PVC soil and waste pipe, 3 inch, per length",3 inch,"soil pipe, waste pipe, drainage pipe"
PVC Pipe (Soil/Waste) 4 inch,,Plumbing,HDW-0075,"PVC soil and waste pipe, 4 inch, per length",4 inch,"soil pipe, waste pipe, drainage pipe"
PVC Pipe (Soil/Waste) 6 inch,,Plumbing,HDW-0076,"PVC soil and waste pipe, 6 inch, per length",6 inch,"soil pipe, waste pipe, drainage pipe"
PPR Pipe (Hot Water) 20mm,,Plumbing,HDW-0077,"PPR heat-resistant water pipe, 20mm, per length",20mm,"ppr pipe, hot water pipe"
PPR Pipe (Hot Water) 25mm,,Plumbing,HDW-0078,"PPR heat-resistant water pipe, 25mm, per length",25mm,"ppr pipe, hot water pipe"
PPR Pipe (Hot Water) 32mm,,Plumbing,HDW-0079,"PPR heat-resistant water pipe, 32mm, per length",32mm,"ppr pipe, hot water pipe"
GI Pipe (Galvanised) 1/2 inch,,Plumbing,HDW-0080,"Galvanised iron water pipe, 1/2 inch, per length",1/2 inch,"gi pipe, galvanised pipe"
GI Pipe (Galvanised) 3/4 inch,,Plumbing,HDW-0081,"Galvanised iron water pipe, 3/4 inch, per length",3/4 inch,"gi pipe, galvanised pipe"
GI Pipe (Galvanised) 1 inch,,Plumbing,HDW-0082,"Galvanised iron water pipe, 1 inch, per length",1 inch,"gi pipe, galvanised pipe"
PVC Elbow (90 degree) 1/2 inch,,Plumbing,HDW-0083,"PVC 90-degree elbow fitting, 1/2 inch",1/2 inch,"pvc elbow, pipe fitting"
PVC Elbow (90 degree) 3/4 inch,,Plumbing,HDW-0084,"PVC 90-degree elbow fitting, 3/4 inch",3/4 inch,"pvc elbow, pipe fitting"
PVC Elbow (90 degree) 1 inch,,Plumbing,HDW-0085,"PVC 90-degree elbow fitting, 1 inch",1 inch,"pvc elbow, pipe fitting"
PVC Elbow (90 degree) 2 inch,,Plumbing,HDW-0086,"PVC 90-degree elbow fitting, 2 inch",2 inch,"pvc elbow, pipe fitting"
PVC Elbow (90 degree) 4 inch,,Plumbing,HDW-0087,"PVC 90-degree elbow fitting, 4 inch",4 inch,"pvc elbow, pipe fitting"
PVC Tee 1/2 inch,,Plumbing,HDW-0088,"PVC tee junction fitting, 1/2 inch",1/2 inch,"pvc tee, pipe fitting"
PVC Tee 3/4 inch,,Plumbing,HDW-0089,"PVC tee junction fitting, 3/4 inch",3/4 inch,"pvc tee, pipe fitting"
PVC Tee 1 inch,,Plumbing,HDW-0090,"PVC tee junction fitting, 1 inch",1 inch,"pvc tee, pipe fitting"
PVC Tee 2 inch,,Plumbing,HDW-0091,"PVC tee junction fitting, 2 inch",2 inch,"pvc tee, pipe fitting"
PVC Coupling / Socket 1/2 inch,,Plumbing,HDW-0092,"PVC coupling socket, 1/2 inch",1/2 inch,"pvc coupling, pipe joiner"
PVC Coupling / Socket 3/4 inch,,Plumbing,HDW-0093,"PVC coupling socket, 3/4 inch",3/4 inch,"pvc coupling, pipe joiner"
PVC Coupling / Socket 1 inch,,Plumbing,HDW-0094,"PVC coupling socket, 1 inch",1 inch,"pvc coupling, pipe joiner"
PVC Coupling / Socket 2 inch,,Plumbing,HDW-0095,"PVC coupling socket, 2 inch",2 inch,"pvc coupling, pipe joiner"
PVC Reducer Assorted,,Plumbing,HDW-0096,"PVC reducing bush fitting, Assorted",Assorted,"pvc reducer, reducing bush"
PVC End Cap 1/2 inch,,Plumbing,HDW-0097,"PVC pipe end cap, 1/2 inch",1/2 inch,"end cap, pipe cap"
PVC End Cap 1 inch,,Plumbing,HDW-0098,"PVC pipe end cap, 1 inch",1 inch,"end cap, pipe cap"
PVC End Cap 2 inch,,Plumbing,HDW-0099,"PVC pipe end cap, 2 inch",2 inch,"end cap, pipe cap"
PVC Union 1/2 inch,,Plumbing,HDW-0100,"PVC union coupling, 1/2 inch",1/2 inch,"pvc union, union fitting"
PVC Union 3/4 inch,,Plumbing,HDW-0101,"PVC union coupling, 3/4 inch",3/4 inch,"pvc union, union fitting"
PVC Union 1 inch,,Plumbing,HDW-0102,"PVC union coupling, 1 inch",1 inch,"pvc union, union fitting"
PVC Gate Valve 1/2 inch,,Plumbing,HDW-0103,"PVC gate valve, 1/2 inch",1/2 inch,"gate valve, pvc valve"
PVC Gate Valve 3/4 inch,,Plumbing,HDW-0104,"PVC gate valve, 3/4 inch",3/4 inch,"gate valve, pvc valve"
PVC Gate Valve 1 inch,,Plumbing,HDW-0105,"PVC gate valve, 1 inch",1 inch,"gate valve, pvc valve"
Brass Gate Valve 1/2 inch,,Plumbing,HDW-0106,"Brass gate valve, 1/2 inch",1/2 inch,"brass valve, gate valve"
Brass Gate Valve 3/4 inch,,Plumbing,HDW-0107,"Brass gate valve, 3/4 inch",3/4 inch,"brass valve, gate valve"
Brass Gate Valve 1 inch,,Plumbing,HDW-0108,"Brass gate valve, 1 inch",1 inch,"brass valve, gate valve"
Ball Valve (Brass) 1/2 inch,,Plumbing,HDW-0109,"Brass ball valve, 1/2 inch",1/2 inch,"ball valve, brass valve"
Ball Valve (Brass) 3/4 inch,,Plumbing,HDW-0110,"Brass ball valve, 3/4 inch",3/4 inch,"ball valve, brass valve"
Ball Valve (Brass) 1 inch,,Plumbing,HDW-0111,"Brass ball valve, 1 inch",1 inch,"ball valve, brass valve"
Stop Cock 1/2 inch,,Plumbing,HDW-0112,"Brass stop cock valve, 1/2 inch",1/2 inch,"stop cock, water valve"
Stop Cock 3/4 inch,,Plumbing,HDW-0113,"Brass stop cock valve, 3/4 inch",3/4 inch,"stop cock, water valve"
Bib Tap (Garden Tap) 1/2 inch,,Plumbing,HDW-0114,"Brass bib tap, 1/2 inch",1/2 inch,"bib tap, garden tap, water tap"
Bib Tap (Garden Tap) 3/4 inch,,Plumbing,HDW-0115,"Brass bib tap, 3/4 inch",3/4 inch,"bib tap, garden tap, water tap"
PTFE Thread Seal Tape 1 roll,,Plumbing,HDW-0116,"PTFE plumber's thread seal tape, 1 roll",1 roll,"ptfe tape, thread tape, plumber tape"
PTFE Thread Seal Tape Pack of 10,,Plumbing,HDW-0117,"PTFE plumber's thread seal tape, Pack of 10",Pack of 10,"ptfe tape, thread tape, plumber tape"
Pipe Cement / Solvent 250ml,,Plumbing,HDW-0118,"PVC pipe solvent cement, 250ml",250ml,"pipe cement, pvc glue, solvent cement"
Pipe Cement / Solvent 500ml,,Plumbing,HDW-0119,"PVC pipe solvent cement, 500ml",500ml,"pipe cement, pvc glue, solvent cement"
Hose Clamp / Jubilee Clip Assorted,,Plumbing,HDW-0120,"Stainless steel hose clamp, Assorted",Assorted,"hose clamp, jubilee clip"
Water Closet (WC Complete Set) 1 set,,Sanitaryware,HDW-0121,"Complete toilet WC with cistern, 1 set",1 set,"water closet, wc, toilet, toilet set"
Wash Hand Basin 1 piece,,Sanitaryware,HDW-0122,"Ceramic wash hand basin, 1 piece",1 piece,"wash basin, hand basin, sink"
Kitchen Sink (Stainless) Single bowl,,Sanitaryware,HDW-0123,"Stainless steel kitchen sink, Single bowl",Single bowl,"kitchen sink, stainless sink"
Kitchen Sink (Stainless) Double bowl,,Sanitaryware,HDW-0124,"Stainless steel kitchen sink, Double bowl",Double bowl,"kitchen sink, stainless sink"
Shower Set (Mixer) 1 set,,Sanitaryware,HDW-0125,"Shower mixer set with head, 1 set",1 set,"shower set, shower mixer"
Shower Head 1 piece,,Sanitaryware,HDW-0126,"Overhead shower head, 1 piece",1 piece,shower head
Basin Mixer Tap 1 piece,,Sanitaryware,HDW-0127,"Chrome basin mixer tap, 1 piece",1 piece,"mixer tap, basin tap"
Kitchen Mixer Tap 1 piece,,Sanitaryware,HDW-0128,"Kitchen sink mixer tap, 1 piece",1 piece,"kitchen tap, mixer tap"
Toilet Cistern (Complete) 1 set,,Sanitaryware,HDW-0129,"Toilet cistern with fittings, 1 set",1 set,"cistern, toilet tank"
Toilet Seat Cover 1 piece,,Sanitaryware,HDW-0130,"Plastic toilet seat and cover, 1 piece",1 piece,"toilet seat, seat cover"
Ball Float Valve (Cistern) 1 piece,,Sanitaryware,HDW-0131,"Cistern ball float inlet valve, 1 piece",1 piece,"float valve, ball valve, cistern valve"
Flexible Connection Hose 30cm,,Sanitaryware,HDW-0132,"Braided flexible tap connection hose, 30cm",30cm,"flexible hose, connection hose"
Flexible Connection Hose 50cm,,Sanitaryware,HDW-0133,"Braided flexible tap connection hose, 50cm",50cm,"flexible hose, connection hose"
Floor Drain / Gully 1 piece,,Sanitaryware,HDW-0134,"Stainless floor drain grating, 1 piece",1 piece,"floor drain, gully, drain cover"
P-Trap / Bottle Trap 1 piece,,Sanitaryware,HDW-0135,"Basin waste bottle trap, 1 piece",1 piece,"p trap, bottle trap, waste trap"
Water Storage Tank (Poly) 500L,,Sanitaryware,HDW-0136,"Polytank water storage tank, 500L",500L,"polytank, water tank, storage tank"
Water Storage Tank (Poly) 1000L,,Sanitaryware,HDW-0137,"Polytank water storage tank, 1000L",1000L,"polytank, water tank, storage tank"
Water Storage Tank (Poly) 2000L,,Sanitaryware,HDW-0138,"Polytank water storage tank, 2000L",2000L,"polytank, water tank, storage tank"
Water Storage Tank (Poly) 5000L,,Sanitaryware,HDW-0139,"Polytank water storage tank, 5000L",5000L,"polytank, water tank, storage tank"
Azar Emulsion Paint (Interior) 1L,Azar,Paint & Finishes,HDW-0140,"Azar interior emulsion paint, 1L",1L,"azar paint, emulsion paint, wall paint"
Azar Emulsion Paint (Interior) 4L,Azar,Paint & Finishes,HDW-0141,"Azar interior emulsion paint, 4L",4L,"azar paint, emulsion paint, wall paint"
Azar Emulsion Paint (Interior) 20L,Azar,Paint & Finishes,HDW-0142,"Azar interior emulsion paint, 20L",20L,"azar paint, emulsion paint, wall paint"
Coral Emulsion Paint (Interior) 1L,Coral,Paint & Finishes,HDW-0143,"Coral interior emulsion paint, 1L",1L,"coral paint, emulsion paint"
Coral Emulsion Paint (Interior) 4L,Coral,Paint & Finishes,HDW-0144,"Coral interior emulsion paint, 4L",4L,"coral paint, emulsion paint"
Coral Emulsion Paint (Interior) 20L,Coral,Paint & Finishes,HDW-0145,"Coral interior emulsion paint, 20L",20L,"coral paint, emulsion paint"
Azar Emulsion Paint (Exterior) 4L,Azar,Paint & Finishes,HDW-0146,"Azar weatherproof exterior emulsion, 4L",4L,"exterior paint, weatherproof paint, azar"
Azar Emulsion Paint (Exterior) 20L,Azar,Paint & Finishes,HDW-0147,"Azar weatherproof exterior emulsion, 20L",20L,"exterior paint, weatherproof paint, azar"
Dulux Emulsion Paint 1L,Dulux,Paint & Finishes,HDW-0148,"Dulux emulsion paint, 1L",1L,"dulux paint, emulsion"
Dulux Emulsion Paint 4L,Dulux,Paint & Finishes,HDW-0149,"Dulux emulsion paint, 4L",4L,"dulux paint, emulsion"
Dulux Emulsion Paint 20L,Dulux,Paint & Finishes,HDW-0150,"Dulux emulsion paint, 20L",20L,"dulux paint, emulsion"
Gloss Paint (Oil-Based) 1L,,Paint & Finishes,HDW-0151,"Oil-based gloss enamel paint, 1L",1L,"gloss paint, oil paint, enamel"
Gloss Paint (Oil-Based) 4L,,Paint & Finishes,HDW-0152,"Oil-based gloss enamel paint, 4L",4L,"gloss paint, oil paint, enamel"
Undercoat / Primer 1L,,Paint & Finishes,HDW-0153,"Wall and metal primer undercoat, 1L",1L,"primer, undercoat"
Undercoat / Primer 4L,,Paint & Finishes,HDW-0154,"Wall and metal primer undercoat, 4L",4L,"primer, undercoat"
Wood Primer 1L,,Paint & Finishes,HDW-0155,"Wood sealer primer, 1L",1L,"wood primer, sealer"
Wood Primer 4L,,Paint & Finishes,HDW-0156,"Wood sealer primer, 4L",4L,"wood primer, sealer"
Anti-Rust Paint (Red Oxide) 1L,,Paint & Finishes,HDW-0157,"Red oxide anti-rust metal primer, 1L",1L,"red oxide, anti rust paint, metal primer"
Anti-Rust Paint (Red Oxide) 4L,,Paint & Finishes,HDW-0158,"Red oxide anti-rust metal primer, 4L",4L,"red oxide, anti rust paint, metal primer"
Textured / Stucco Paint 20L,,Paint & Finishes,HDW-0159,"Textured exterior stucco paint, 20L",20L,"textured paint, stucco"
Wall Filler / Putty 1kg,,Paint & Finishes,HDW-0160,"Skimming wall filler putty, 1kg",1kg,"wall filler, putty, skim coat"
Wall Filler / Putty 5kg,,Paint & Finishes,HDW-0161,"Skimming wall filler putty, 5kg",5kg,"wall filler, putty, skim coat"
Wall Filler / Putty 25kg,,Paint & Finishes,HDW-0162,"Skimming wall filler putty, 25kg",25kg,"wall filler, putty, skim coat"
Wood Varnish 1L,,Paint & Finishes,HDW-0163,"Clear wood varnish, 1L",1L,"varnish, wood varnish"
Wood Varnish 4L,,Paint & Finishes,HDW-0164,"Clear wood varnish, 4L",4L,"varnish, wood varnish"
Wood Stain 1L,,Paint & Finishes,HDW-0165,"Wood staining finish, 1L",1L,"wood stain, stain"
Thinner (Paint) 1L,,Paint & Finishes,HDW-0166,"Paint thinner solvent, 1L",1L,"thinner, paint thinner, turpentine"
Thinner (Paint) 4L,,Paint & Finishes,HDW-0167,"Paint thinner solvent, 4L",4L,"thinner, paint thinner, turpentine"
Thinner (Paint) 20L,,Paint & Finishes,HDW-0168,"Paint thinner solvent, 20L",20L,"thinner, paint thinner, turpentine"
Paint Brush 1 inch,,Paint & Finishes,HDW-0169,"Bristle paint brush, 1 inch",1 inch,"paint brush, brush"
Paint Brush 2 inch,,Paint & Finishes,HDW-0170,"Bristle paint brush, 2 inch",2 inch,"paint brush, brush"
Paint Brush 3 inch,,Paint & Finishes,HDW-0171,"Bristle paint brush, 3 inch",3 inch,"paint brush, brush"
Paint Brush 4 inch,,Paint & Finishes,HDW-0172,"Bristle paint brush, 4 inch",4 inch,"paint brush, brush"
Paint Roller Set 7 inch,,Paint & Finishes,HDW-0173,"Paint roller with tray set, 7 inch",7 inch,"paint roller, roller set"
Paint Roller Set 9 inch,,Paint & Finishes,HDW-0174,"Paint roller with tray set, 9 inch",9 inch,"paint roller, roller set"
Masking Tape (Painters) 24mm,,Paint & Finishes,HDW-0175,"Painter's masking tape, 24mm",24mm,"masking tape, painters tape"
Masking Tape (Painters) 48mm,,Paint & Finishes,HDW-0176,"Painter's masking tape, 48mm",48mm,"masking tape, painters tape"
Sandpaper (Assorted Grit) Per sheet,,Paint & Finishes,HDW-0177,"Abrasive sandpaper sheets, Per sheet",Per sheet,"sandpaper, abrasive paper"
Sandpaper (Assorted Grit) Pack of 10,,Paint & Finishes,HDW-0178,"Abrasive sandpaper sheets, Pack of 10",Pack of 10,"sandpaper, abrasive paper"
Nails (Common Wire) 1 inch,,Fasteners & Fixings,HDW-0179,"Common wire nails, 1 inch, per kg",1 inch,"nails, wire nails"
Nails (Common Wire) 2 inch,,Fasteners & Fixings,HDW-0180,"Common wire nails, 2 inch, per kg",2 inch,"nails, wire nails"
Nails (Common Wire) 3 inch,,Fasteners & Fixings,HDW-0181,"Common wire nails, 3 inch, per kg",3 inch,"nails, wire nails"
Nails (Common Wire) 4 inch,,Fasteners & Fixings,HDW-0182,"Common wire nails, 4 inch, per kg",4 inch,"nails, wire nails"
Nails (Common Wire) 6 inch,,Fasteners & Fixings,HDW-0183,"Common wire nails, 6 inch, per kg",6 inch,"nails, wire nails"
Nails (Concrete/Masonry) 2 inch,,Fasteners & Fixings,HDW-0184,"Hardened concrete nails, 2 inch, per kg",2 inch,"concrete nails, masonry nails"
Nails (Concrete/Masonry) 3 inch,,Fasteners & Fixings,HDW-0185,"Hardened concrete nails, 3 inch, per kg",3 inch,"concrete nails, masonry nails"
Wood Screws (Assorted) Box,,Fasteners & Fixings,HDW-0186,"Assorted wood screws, Box",Box,"wood screws, screws"
Self-Tapping Screws Box of 100,,Fasteners & Fixings,HDW-0187,"Self-tapping metal screws, Box of 100",Box of 100,"self tapping screws, metal screws"
Bolts & Nuts (Assorted) Box,,Fasteners & Fixings,HDW-0188,"Assorted machine bolts and nuts, Box",Box,"bolts, nuts, fasteners"
Coach Bolts Assorted,,Fasteners & Fixings,HDW-0189,"Coach bolts for timber, Assorted",Assorted,"coach bolts, carriage bolts"
Washers (Flat & Spring) Box,,Fasteners & Fixings,HDW-0190,"Assorted flat and spring washers, Box",Box,"washers, flat washers"
Wall Plugs (Rawl Plugs) Pack of 100,,Fasteners & Fixings,HDW-0191,"Plastic wall anchor plugs, Pack of 100",Pack of 100,"wall plugs, rawl plugs"
Expansion Bolts (Anchor) Assorted,,Fasteners & Fixings,HDW-0192,"Steel expansion anchor bolts, Assorted",Assorted,"expansion bolts, anchor bolts"
Threaded Rod 8mm,,Fasteners & Fixings,HDW-0193,"Galvanised threaded rod, 8mm, per length",8mm,"threaded rod, all thread"
